,award_unique_key,award_id_fain,federal_action_obligation,total_obligated_amount,transaction_description,prime_award_base_transaction_description,action_date,awarding_agency_name,awarding_sub_agency_name,recipient_name,recipient_parent_name,recipient_country_name,primary_place_of_performance_country_name,subaward_number,subaward_amount,subaward_action_date,subaward_type,subaward_description,subawardee_name,subawardee_country_name,year,year_quarter
1077,ASST_NON_SBR82023IN0013_1900,SBR82023IN0013,5000.0,5000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2023-09-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2023,2023Q3
919,ASST_NON_SBR25024IN0006_1900,SBR25024IN0006,882.0,882.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-04-03,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q2
920,ASST_NON_SBR25024IN0009_1900,SBR25024IN0009,500.0,500.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-05-02,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,UNITED STATES,,,,,,,,2024,2024Q2
1377,ASST_NON_SPM07024IN0029_1900,SPM07024IN0029,24850.0,24850.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-07-09,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,PANAMA,,,,,,,,2024,2024Q3
921,ASST_NON_SBR25024IN0014_1900,SBR25024IN0014,700.0,700.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-07-17,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1088,ASST_NON_SBR82024IN0008_1900,SBR82024IN0008,34619.0,34619.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-05,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1089,ASST_NON_SBR82024IN0016_1900,SBR82024IN0016,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
922,ASST_NON_SBR25024IN0030_1900,SBR25024IN0030,6450.0,6450.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1276,ASST_NON_SBR93024IN0023_1900,SBR93024IN0023,396.0,396.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
1275,ASST_NON_SBR93024IN0022_1900,SBR93024IN0022,8000.0,8000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q3
994,ASST_NON_SBR81025IN0001_1900,SBR81025IN0001,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2024-12-27,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2024,2024Q4
